Series Name,English,Deutsch,Nederlands
API London,When is next APICon London happening?,Wann findet die nächste APICon London statt?,Wanneer vindt de volgende APICon London plaats?
API New York,When is next APICon New York happening?,Wann findet die nächste APICon New York statt?,Wanneer vindt de volgende APICon New York plaats?
BASTA! Herbst,When is next BASTA! Herbst happening?,Wann findet die nächste BASTA! Herbst statt?,Wanneer vindt de volgende BASTA! Herbst plaats?
BASTA! Spring,When is next BASTA! Spring happening?,Wann findet die nächste BASTA! Spring statt?,Wanneer vindt de volgende BASTA! Spring plaats?
Delphi Code Camp Duesseldorf,When is next Delphi Code Camp Duesseldorf happening?,Wann findet die nächste Delphi Code Camp Düsseldorf statt?,Wanneer vindt de volgende Delphi Code Camp Duesseldorf plaats?
DevOps Training Docker,When is next DevOps Training Docker happening?,Wann findet die nächste DevOps Training Docker statt?,Wanneer vindt de volgende DevOps Training Docker plaats?
DevOps Training Kubernetes,When is next DevOps Training Kubernetes happening?,Wann findet die nächste DevOps Training Kubernetes statt?,Wanneer vindt de volgende DevOps Training Kubernetes plaats?
DevOps Training Kubernetes Advanced,When is next DevOps Training Kubernetes Advanced happening?,Wann findet die nächste DevOps Training Kubernetes Advanced statt?,Wanneer vindt de volgende DevOps Training Kubernetes Advanced plaats?
DevOps Training Kubernetes Master,When is next DevOps Training Kubernetes Master happening?,Wann findet die nächste DevOps Training Kubernetes Master statt?,Wanneer vindt de volgende DevOps Training Kubernetes Master plaats?
DevOps Training Monitoring,When is next DevOps Training Monitoring happening?,Wann findet die nächste DevOps Training Monitoring statt?,Wanneer vindt de volgende DevOps Training Monitoring plaats?
DevOps Training Service Mesh,When is next DevOps Training Service Mesh happening?,Wann findet die nächste DevOps Training Service Mesh statt?,Wanneer vindt de volgende DevOps Training Service Mesh plaats?
DevOpsCon Berlin,When is next DevOpsCon Berlin happening?,Wann findet die nächste DevOpsCon Berlin statt?,Wanneer vindt de volgende DevOpsCon Berlijn plaats?
DevOpsCon London,When is next DevOpsCon London happening?,Wann findet die nächste DevOpsCon London statt?,Wanneer vindt de volgende DevOpsCon London plaats?
DevOpsCon Munich,When is next DevOpsCon Munich happening?,Wann findet die nächste DevOpsCon München statt?,Wanneer vindt die volgende DevOpsCon München plaats?
DevOpsCon New York,When is next DevOpsCon New York happening?,Wann findet die nächste DevOpsCon New York statt?,Wanneer vindt de volgende DevOpsCon New York plaats?
"DevOpsCon San Diego, CA","When is next DevOpsCon San Diego, CA happening?","Wann findet die nächste DevOpsCon San Diego, CA statt?","Wanneer vindt de volgende DevOpsCon San Diego, CA plaats?"
DevOpsCon Singapore,When is next DevOpsCon Singapore happening?,Wann findet die nächste DevOpsCon Singapore statt?,Wanneer vindt de volgende DevOpsCon Singapore plaats?
EKON,When is next EKON happening?,Wann findet die nächste EKON statt?,Wanneer vindt de volgende EKON plaats?
entwickler summit,When is next entwickler summit happening?,Wann findet der nächste entwickler summit statt?,Wanneer vindt die volgende entwickler summit plaats?
